Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Con Style,Game Pwr,Raw Pwr,Spd,Fld,Versa,Hard Hit%,FV,PlayerId
"Luis Velasquez","SIRP","NYY",,43,"23.6944444","",,,,"","","","",,,"35+","sa3010135"
"Mike Vasil","SP","TBR",,43,"24.9777777","",,,,"","","","",,,"35+","sa3017915"
"Kamuel Villar","SS","COL",,43,"17.5166666","20 / 40",,40,,"20 / 45","40 / 50","50 / 50","30 / 45",,,"35+",
"Jose Fernandez","SS","ARI",,44,"21.4694444","20 / 30",40,30,"Oppo","20 / 40","35 / 50","50 / 50","45 / 60","3B/SS",0.3,"35+","sa3015204"
"Thomas  Balboni Jr.","SIRP","NYY",,44,"24.6805555","",,,,"","","","",,,"35+","sa3020861"
"Yereny Teus","MIRP","TBR",,44,"21.6111111","",,,,"","","","",,,"35+","sa3020978"
"Kenny Castillo","C","ARI",,45,"20.8277777","30 / 30",50,30,"GapToGap","30 / 35","30 / 45","20 / 20","45 / 60",,0.41,"35+","sa3015863"
"Hansel Rosario","SIRP","NYY",,45,"22.6","",,,,"","","","",,,"35+","sa3019247"
"Logan Driscoll","C","TBR",,45,"27.3555555","40 / 40",50,40,"PoleToPole","40 / 40","50 / 50","30 / 30","50 / 50",,0.35,"35+","25475"
"Roman Angelo","MIRP","ARI",,46,"24.8166666","",,,,"","","","",,,"35+","sa3022737"
"Colton Ledbetter","CF","TBR",,46,"23.3222222","20 / 30",40,30,"PoleToPole","30 / 50","55 / 55","50 / 50","40 / 45","OF",0.47,"35+","sa3022897"
"Hayden Durke","SIRP","ARI",,47,"22.8611111","",,,,"","","","",,,"35+","sa3022733"
"Mac Horvath","CF","TBR",,47,"23.1194444","30 / 40",60,40,"Pull","30 / 45","50 / 50","60 / 60","30 / 40","2B/3B/OF",0.37,"35+","sa3022885"
"Connor Foley","SIRP","ARI",,48,"21.6583333","",,,,"","","","",,,"35+",
"Homer Bush Jr.","CF","TBR",,48,"23.4111111","30 / 40",40,40,"Slash&Dash","20 / 30","30 / 35","80 / 80","40 / 60","OF",0.19,"35+","sa3022480"
"Daniel Eagen","SP","ARI",,49,"22.3","",,,,"","","","",,,"35+",
"Angel Brachi","SS","TBR",,49,"18.1833333","25 / 55",45,55,"GapToGap","20 / 30","20 / 30","60 / 60","45 / 55","2B/3B/SS",0.08,"35+","sa3023784"
"Andrew Saalfrank","SIRP","ARI",,50,"27.5638888","",,,,"","","","",,,"35+","26203"
"Eliomar Garces","SS","TBR",,50,"17.5","20 / 45",,45,,"20 / 30","30 / 40","50 / 50","40 / 55",,,"35+",
"Grayson Hitt","SP","ARI",,51,"23.25","",,,,"","","","",,,"35+","sa3025020"
"Eric Orze","SIRP","TBR",,51,"27.5555555","",,,,"","","","",,,"35+","27626"
"Ricardo Yan","SP","ARI",,52,"22.325","",,,,"","","","",,,"35+","sa3016056"
"Paul Gervase","SIRP","TBR",,52,"24.8","",,,,"","","","",,,"35+","sa3019957"
"Juan Morillo","SIRP","ARI",,53,"25.9777777","",,,,"","","","",,,"35+","sa917772"
"Jack Hartman","SIRP","TBR",,53,"26.6611111","",,,,"","","","",,,"35+","sa3018250"
"Nate Lavender","SIRP","TBR",,54,"25.1416666","",,,,"","","","",,,"35+","sa3017917"
"Alexander Alberto","SIRP","TBR",,55,"23.3583333","",,,,"","","","",,,"35+","sa3015986"
"Marcus Johnson","SP","TBR",,56,"24.25","",,,,"","","","",,,"35+","sa3020324"
