Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Con Style,Game Pwr,Raw Pwr,Spd,Fld,Versa,Hard Hit%,FV,PlayerId
"Eli Lovich","RF","CHC",,27,"19.6083333","20 / 45",50,45,"Oppo","20 / 55","45 / 60","40 / 40","30 / 50",,,"35+",
"Brayan Narvaez","SP","SFG",,27,"20.3916666","",,,,"","","","",,,"35+","sa3022133"
"Henry Bolte","RF","ATH",,27,"21.6027777","20 / 30",40,30,"PoleToPole","30 / 40","55 / 60","80 / 80","40 / 50","LF/RF",0.51,"35+","sa3020006"
"Anyelo Marquez","2B","LAA",,27,"19.2472222","25 / 55",50,55,"Pull","20 / 40","30 / 45","40 / 40","40 / 50",,0.1,"35+","sa3021178"
"Dylan Campbell","RF","PHI",,27,"22.6916666","30 / 50",45,55,"GapToGap","30 / 45","45 / 45","50 / 50","35 / 60","LF/RF",0.31,"35+","sa3022751"
"Franyerber Montilla","SS","DET",,27,"19.9055555","30 / 45",60,45,"Pull","30 / 40","40 / 45","55 / 55","40 / 50","2B/SS",0.35,"35+","sa3018580"
"Alberto Barriga","C","ARI",,28,"20.3222222","35 / 55",60,60,"Pull","20 / 30","30 / 40","55 / 55","45 / 60","C/2B",0.32,"40","sa3018595"
"Yoendrys Gómez","MIRP","NYY",,28,"25.4055555","",,,,"","","","",,,"40","22872"
"Will Simpson","1B","TBR",,28,"23.5361111","35 / 45",40,40,"PoleToPole","40 / 50","55 / 60","30 / 30","45 / 50",,0.53,"40","sa3022530"
"Christian Cairo","SS","ATL",,28,"23.75","40 / 50",60,55,"GapToGap","20 / 30","30 / 30","50 / 50","60 / 60","2B/3B/SS",0.27,"40","sa3010028"
"Yeiker Reyes","CF","COL",,28,"19.4","20 / 55",70,50,"SlashAndDash","20 / 30","20 / 30","55 / 60","40 / 55","OF",0.15,"40","sa3021126"
"Ty Southisene","SS","CHC",,28,"19.675","20 / 40",50,55,"Oppo","20 / 35","35 / 40","60 / 60","35 / 50","2B/SS",,"35+",
"Andry Lara","SP","WSN",,0,"22.1805555","",,,,"","","","",,,"35+","sa3014716"
"Hunter Dryden","SIRP","SFG",,28,"22.7527777","",,,,"","","","",,,"35+",
"Darwin Ozuna","RF","ATH",,28,"16.9638888","20 / 30",,30,,"20 / 45","40 / 60","60 / 60","30 / 50",,,"35+",
"Yeferson Vargas","SIRP","LAA",,28,"20.6027777","",,,,"","","","",,,"35+","sa3021044"
"John Spikerman","CF","PHI",,28,"21.9416666","30 / 40",50,40,"Gaps/Oppo","30 / 40","40 / 40","60 / 60","45 / 55","OF",0.19,"35+","sa3025197"
"Luis Curvelo","SIRP","TEX",,0,"24.3888888","",,,,"","","","",,,"35+","sa3008169"
"Enrique Jimenez","C","DET",,28,"19.3555555","20 / 40",50,40,"GapToGap","20 / 40","40 / 45","30 / 30","40 / 50",,0.42,"35+","sa3021091"
"Listher Sosa","SIRP","ARI",,29,"23.5138888","",,,,"","","","",,,"40","sa3009725"
